Bandit,Reward,Algorithm
3,3.6602446124845516,EpsilonGreedy
3,3.448794209874161,EpsilonGreedy
3,5.7278030396164095,EpsilonGreedy
3,3.2005873382114842,EpsilonGreedy
3,4.442415418654192,EpsilonGreedy
3,4.974126461322528,EpsilonGreedy
3,5.422574905139339,EpsilonGreedy
3,4.27871741160995,EpsilonGreedy
3,3.8125531601178007,EpsilonGreedy
3,5.538190821646694,EpsilonGreedy
3,4.414830935423998,EpsilonGreedy
3,2.3766196050191124,EpsilonGreedy
3,4.497652422030026,EpsilonGreedy
3,3.37555072649333,EpsilonGreedy
3,3.9440508891879085,EpsilonGreedy
3,2.9975811396313325,EpsilonGreedy
3,2.7621394660651375,EpsilonGreedy
3,3.9577789704579454,EpsilonGreedy
3,4.007418079068656,EpsilonGreedy
3,3.513317466188132,EpsilonGreedy
3,5.059683127115747,EpsilonGreedy
3,3.4893184770396046,EpsilonGreedy
3,3.2753332991764883,EpsilonGreedy
3,4.260226461166985,EpsilonGreedy
3,5.658040652583782,EpsilonGreedy
3,5.809371159916272,EpsilonGreedy
3,5.503555561222611,EpsilonGreedy
3,6.141006004501203,EpsilonGreedy
3,5.109397570083999,EpsilonGreedy
3,4.7964029605699485,EpsilonGreedy
3,3.50065820279324,EpsilonGreedy
3,4.151036244355814,EpsilonGreedy
3,2.9582573609929446,EpsilonGreedy
3,4.346018420673189,EpsilonGreedy
3,5.142949051175933,EpsilonGreedy
3,3.5521464415864785,EpsilonGreedy
3,3.703965988538994,EpsilonGreedy
3,3.8746525143188584,EpsilonGreedy
3,4.37233597507481,EpsilonGreedy
3,5.6161834693119275,EpsilonGreedy
3,4.603086042985932,EpsilonGreedy
3,2.551403998981486,EpsilonGreedy
3,5.623341503507341,EpsilonGreedy
3,3.843513169348216,EpsilonGreedy
3,5.212169375074972,EpsilonGreedy
3,4.2039560141681624,EpsilonGreedy
3,2.9616803755795975,EpsilonGreedy
3,4.099836686467952,EpsilonGreedy
3,4.4729806827656144,EpsilonGreedy
3,6.067939736381778,EpsilonGreedy
3,5.2715087219264145,EpsilonGreedy
3,3.3716320522101286,EpsilonGreedy
3,3.308810613755243,EpsilonGreedy
3,4.162480975605477,EpsilonGreedy
3,4.144822726712695,EpsilonGreedy
3,5.864663083549882,EpsilonGreedy
3,2.8551258902467787,EpsilonGreedy
3,2.603953656539546,EpsilonGreedy
3,4.46803959047924,EpsilonGreedy
3,3.999534996733227,EpsilonGreedy
3,2.130738933392209,EpsilonGreedy
3,4.807022414956174,EpsilonGreedy
3,3.152250915210582,EpsilonGreedy
3,5.206207268290335,EpsilonGreedy
3,4.220951925217345,EpsilonGreedy
3,5.365916756468725,EpsilonGreedy
3,3.250548448466949,EpsilonGreedy
3,4.32046552383255,EpsilonGreedy
3,5.868142085464584,EpsilonGreedy
3,5.465853958552227,EpsilonGreedy
3,3.4577231860226765,EpsilonGreedy
3,4.652279649504197,EpsilonGreedy
3,3.9704532923842564,EpsilonGreedy
3,2.1639682218219676,EpsilonGreedy
3,3.5755730336779847,EpsilonGreedy
3,3.8594797370609015,EpsilonGreedy
3,2.9252447087783717,EpsilonGreedy
3,3.887633790849596,EpsilonGreedy
3,3.3554779172795337,EpsilonGreedy
3,6.391346830763448,EpsilonGreedy
3,4.5582480622405965,EpsilonGreedy
3,5.059837353892541,EpsilonGreedy
3,4.925248119695043,EpsilonGreedy
3,3.8436399419030916,EpsilonGreedy
3,4.758307254718631,EpsilonGreedy
3,2.2797334425239573,EpsilonGreedy
3,2.7307776735821827,EpsilonGreedy
3,3.7512130299355393,EpsilonGreedy
3,3.4402451002102676,EpsilonGreedy
3,4.115893624911278,EpsilonGreedy
3,2.1681087664875616,EpsilonGreedy
3,4.4807413307185655,EpsilonGreedy
3,3.7957527310580073,EpsilonGreedy
3,4.483025658985431,EpsilonGreedy
3,4.265260410330754,EpsilonGreedy
3,3.145495748435776,EpsilonGreedy
3,3.8017994370618955,EpsilonGreedy
